customer_id,birth_year,annual_income,num_children,num_teenagers,days_since_last_purchase,has_recent_complaint,spend_wine,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,num_discount_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,web_visits_last_month,accepted_campaign_1,accepted_campaign_2,accepted_campaign_3,accepted_campaign_4,accepted_campaign_5,accepted_last_campaign,education_level_2n Cycle,education_level_Basic,education_level_Graduation,education_level_Master,education_level_PhD,marital_status_Absurd,marital_status_Alone,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,marital_status_YOLO,age,total_spend,total_purchases,family_size
5524.0,1957.0,58138.0,0.0,0.0,58.0,0.0,635.0,81.0,546.0,120.5,81.0,88.0,3.0,8.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,68.0,1617.0,22.0,0.0
2174.0,1954.0,46344.0,1.0,1.0,38.0,0.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,71.0,27.0,4.0,2.0
4141.0,1965.0,71613.0,0.0,0.0,26.0,0.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,60.0,776.0,20.0,0.0
6182.0,1984.0,26646.0,1.0,0.0,26.0,0.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,41.0,53.0,6.0,1.0
5324.0,1981.0,58293.0,1.0,0.0,94.0,0.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,44.0,422.0,14.0,1.0
7446.0,1967.0,62513.0,0.0,1.0,16.0,0.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,58.0,716.0,20.0,1.0
965.0,1971.0,55635.0,0.0,1.0,34.0,0.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,54.0,590.0,17.0,1.0
6177.0,1985.0,33454.0,1.0,0.2706372617767627,32.0,0.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,40.0,169.0,8.0,1.2706372617767627
4855.0,1974.0,30351.0,1.0,0.0,19.0,0.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,False,False,False,False,True,False,False,51.0,46.0,5.0,1.0
5899.0,1950.0,5648.0,1.0,1.0,68.0,0.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,75.0,49.0,1.0,2.0
1994.0,1983.0,29852.725265674773,1.0,0.0,11.0,0.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,42.0,19.0,3.0,1.0
387.0,1976.0,7500.0,0.0,0.0,59.0,0.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,49.0,61.0,5.0,0.0
2125.0,1959.0,63033.0,0.0,0.0,82.0,0.0,194.0,61.0,480.0,120.5,81.0,30.0,1.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,66.0,1102.0,15.0,0.0
8180.0,1952.0,59354.0,1.0,1.0,53.0,0.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,73.0,310.0,12.0,2.0
2569.0,1987.0,17323.0,0.0,0.0,38.0,0.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,38.0,46.0,4.0,0.0
2114.0,1946.0,82800.0,0.0,0.0,23.0,0.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,True,False,False,False,False,True,False,False,False,79.0,1315.0,25.0,0.0
